category,item,qty,intended_supplier,part_no,est_unit_cost_gbp,status,notes
electronics,ESP32 dev board (WROOM-32),1,generic,ESP32-DevKitC,8,in stock,"Dual-core; Edge Impulse C++ SDK target"
electronics,MPU6050 IMU breakout,1,generic,GY-521,£2.06,sourced,"v1 sensor; retained on noise/bias grounds pending M1 PSD (ADR-0001)"
electronics,RFM95W LoRa module 868MHz,1,HopeRF,RFM95W-868S2,£5.56,sourced,"Coastal/bench prototype for satellite link (ADR-0004)"
electronics,868MHz antenna (SMA/u.FL whip),1,generic,-,included,sourced,"Routing through sealed enclosure is an open question"
electronics,LiPo cell 3.7V ~2000mAh,1,generic,-,8,in stock,"No power profiling in v1"
electronics,TP4056 charger + protection,1,generic,TP4056,2,in stock,"Bench charging only for v1"
electronics,microSD module (SPI) + card,1,generic,-,5,planned,"De-risks sensing/ML before RF; not the deliverable"
electronics,Protoboard + jumper set,1,generic,-,5,in stock,"Bring-up wiring"
enclosure,PETG filament (1kg),1,generic,-,20,in stock,"FDM minimum for seawater; PLA rejected (ADR-0006)"
enclosure,Glass cloth + epoxy (layup),1,generic,-,30,planned,"Preferred hull route: printed plug -> composite (ADR-0006)"
enclosure,IP-rated cable gland,1,generic,-,3,in stock,-
enclosure,Marine potting epoxy,1,generic,-,15,planned,"Pot PCB penetrations"
enclosure,Ballast + mooring eye + fasteners,1,workshop,-,10,planned,"Ballast geometry iterated against float/decay tests"
rig,Stepper motor (NEMA17),1,generic,-,9,planned,"Oscillation rig drive: precise/commandable (ADR-0005)"
rig,Stepper driver (A4988/DRV8825),1,generic,A4988,3,planned,"Driven from a spare MCU"
rig,Linear hardware (rods/bearings/crank),1,workshop,-,15,planned,"Scotch-yoke / crank-slider, shop-fabricated"
